LU_GRP,DORCODE
GOVERNMENT,8600
MEDICAL OFFICE CONDO,1999
OFFICE CONDO,1799
COOPERATIVE,1040
MULTI-FAMILY,0400
INSTITUTIONAL,7406
INSTITUTIONAL,7408
MULTI-FAMILY,0508
1 STY STORE CONDO,1199
MOBILE HOMES,0200
INDUSTRAL CONDO,4899
MULTI-FAMILY,0500
HOA COMMERCIAL,7704
OFFICE CONDO,1899
GOVERNMENT,8900
INVALID CODE,1099
COMM./OFFICE,1720
INVALID CODE,0044
INVALID CODE,0903
INVALID CODE,0040
"UTILITY, R/W",9300
MULTI-FAMILY,0340
VACANT MH/COOP,0008
GOVERNMENT,9080
INVALID CODE,7501
INVALID CODE,2899
AGRICULTURAL,5100
INVALID CODE,0902
COMMERCIAL,2020
GOVERNMENT,9090
STORE/SHP CENTE,1310
GOVERNMENT,8910
APT CONDO,0403
INSTITUTIONAL,7500
GOVERNMENT,9040
INVALID CODE,9018
VACANT RESIDENT,0000
STORE/SHP CENTE,1620
INSTITUTIONAL,7503
MULTI-FAMILY,0399
VACANT COMM.,1000
INVALID CODE,NN
INSTITUTIONAL,7400
GOVERNMENT,8700
INSTITUTIONAL,7100
STORE/SHP CENTE,1400
"UTILITY, R/W",9100
INVALID CODE,9021
"UTILITY, R/W",9400
COMM./OFFICE,2201
INVALID CODE,0901
INVALID CODE,9085
INVALID CODE,9011
GOVERNMENT,9020
INVALID CODE,0045
LIGHT INDUS.,4600
INVALID CODE, 
MULTI-FAMILY,0800
GOVERNMENT,8610
INVALID CODE,8710
LANDSCAPE/WALL BUFFER,8660
"UTILITY, R/W",9600
INVALID CODE,0029
VACANT INDUS.,4000
SINGLE FAMILY,0106
COMM./OFFICE,3300
VACANT TOWNHOME,0006
COMM./OFFICE,2800
LIGHT INDUS.,4840
"UTILITY, R/W",9800
GOVERNMENT,8680
CHURCH PARSONAGES,7101
SINGLE FAMILY,0100
LIGHT INDUS.,4860
INVALID CODE,1750
AGRICULTURAL,6000
INVALID CODE,1950
STORE/SHP CENTE,1130
CEMETERY,7610
